EAN;CODIGO;DESCRICAO;ESTOQUE;PRECO
7891234567890;001;Arroz Branco Tipo 1 5kg;50;29.90
7890000000001;002;Feijão Carioca 1kg;8;8.50
7891000100103;003;Óleo de Soja 900ml;120;7.99
7896001281069;004;Sabão em Pó OMO 1kg;0;19.90
7891149109100;005;Macarrão Espaguete 500g;75;4.29
7896045104475;006;Leite Integral 1L;200;5.99
7891150056718;007;Açúcar Refinado 1kg;90;4.75
7896005800163;008;Café Torrado e Moído 500g;60;18.90
7891025113515;009;Farinha de Trigo 1kg;45;5.20
7896036090527;010;Biscoito Recheado 130g;150;3.50
